sample	clade_name	clade_taxid	relative_abundance	estimated_number_of_reads_from_the_clade
ERS4181284	k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924|f__FGB72924|g__GGB3612|s__GGB3612_SGB4882	2|1239|||||	1.03931	365117
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB	2|1239|186801|186802|31979||2292182	1.03488	255985
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium	2|1239|186801|186802|186803||1898203	0.99657	297945
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106	2|1239|186801|186802|216572||	0.9824	218706
ERS4181284	k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479|f__FGB11479|g__GGB1632|s__GGB1632_SGB2240	2|976|||||	0.91346	275371
ERS4181284	k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__GGB12695|s__GGB12695_SGB19692	2|74152|641853|641854|641876||	0.90048	141581
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A	2|976|200643|171549|171552|838|165179	0.84501	258246
ERS4181284	k__Bacteria|p__Firmicutes|c__CFGB1327|o__OFGB1327|f__FGB1327|g__GGB3178|s__GGB3178_SGB4200	2|1239|||||	0.79683	205950
ERS4181284	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_aalborgi	2|203691|203692|1643686|143786|29521|29522	0.79248	191352
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB18559|s__GGB18559_SGB27424	2|976|200643|171549|171552||	0.77848	251066
ERS4181284	k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104|o__OFGB2104|f__FGB2104|g__GGB5994|s__GGB5994_SGB8617	2|1798710|||||	0.71247	165807
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277|s__GGB3277_SGB4327	2|976|200643|171549|171550||	0.67332	135320
ERS4181284	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__GGB4251|s__GGB4251_SGB5752	2|1239|909932|1843488|909930||	0.66445	150423
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1149|s__GGB1149_SGB1476	2|976|200643|171549|171552||	0.65423	176492
ERS4181284	k__Bacteria|p__Tenericutes|c__CFGB336|o__OFGB336|f__FGB336|g__GGB763|s__GGB763_SGB1002	2|544448|||||	0.65343	120154
ERS4181284	k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6019|s__GGB6019_SGB8651	2|1798710|||||	0.64589	148660
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	2|1239|186801|186802|216572|216851|853	0.57377	133429
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB33085|s__GGB33085_SGB1671	2|976|200643|171549|171552||	0.56562	180317
ERS4181284	k__Bacteria|p__Bacteroidetes|c__CFGB1458|o__OFGB1458|f__FGB1458|g__GGB1458|s__GGB1458_SGB2021	2|976|||||	0.55795	166423
ERS4181284	k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320|f__FGB1320|g__GGB3160|s__GGB3160_SGB4364	2|1239|||||	0.5559	124428
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB4196	2|1239|186801|186802|216572||	0.55077	148383
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15093	2|1239|186801|186802|216572||	0.53423	121218
